ID;Muestreo;Tiempo;Replica;O_lucimarinus;M_commoda;B_prasinos
t0-1;t0;0min;1;52937;232298;290685
t0-2;t0;0min;2;56596;190727;342801
t0-3;t0;0min;3;52811;173449;327953
t1-1;t1;5min;1;56442;314424;304904
t1-2;t1;5min;2;58195;239165;
t1-3;t1;5min;3;52177;234666;305090
t2-1;t2;15min;1;43748;302130;264452
t2-2;t2;15min;2;48526;186195;
t2-3;t2;15min;3;54606;208317;297062
t3-1;t3;30min;1;57016;278041;258223
t3-2;t3;30min;2;63463;237487;
t3-3;t3;30min;3;51123;260923;
t4-1;t4;1h;1;54265;303193;288051
t4-2;t4;1h;2;47682;211226;
t4-3;t4;1h;3;47836;229062;293030
t5-1;t5;2h;1;34503;269573;270846
t5-2;t5;2h;2;46034;193412;
t5-3;t5;2h;3;46062;169055;255188
t6-1;t6;4h;1;53125;304951;320671
t6-2;t6;4h;2;46720;246496;
t6-3;t6;4h;3;55377;216188;338636
t7-1;t7;8h;1;30307;271286;
t7-2;t7;8h;2;48006;269335;
t7-3;t7;8h;3;45874;260811;
t8-1;t8;12h;1;55944;270747;
t8-2;t8;12h;2;60678;259314;
t8-3;t8;12h;3;61825;252181;
t9-1;t9;24h;1;52622;275062;
t9-2;t9;24h;2;41769;255118;
t9-3;t9;24h;3;26160;220741;
t10-1;t10;36h;1;59083;349755;
t10-2;t10;36h;2;67636;249972;
t10-3;t10;36h;3;48272;308699;
t11-1;t11;48h;1;46216;410328;
t11-2;t11;48h;2;50776;314062;
t11-3;t11;48h;3;94251;331000;
t12-1;t12;60h;1;129650;890090;
t12-2;t12;60h;2;123251;753804;
t12-3;t12;60h;3;75972;628006;
t13-1;t13;72h;1;105853;1110937;
t13-2;t13;72h;2;110797;951748;
t13-3;t13;72h;3;53923;739433;