ID;Muestreo;No_Muestreo;Tiempo;Replica;Cobre;Cu_Alfa;Cu_Mean;Control;Ctrl_Mean;Hierro;Fe_Mean
t0-1;t0;1;0min;1;52937;0;54114;24890;17679;97846;68969
t0-2;t0;1;0min;2;56596;0;54114;12587;17679;54293;68969
t0-3;t0;1;0min;3;52811;0;54114;15561;17679;54769;68969
t1-1;t1;2;5min;1;56442;3505;55604;12344;15604;119328;116540
t1-2;t1;2;5min;2;58195;1599;55604;16125;15604;85006;116540
t1-3;t1;2;5min;3;52177;-634;55604;18344;15604;145286;116540
t2-1;t2;3;15min;1;43748;-12694;48960;15673;11371;108223;100493
t2-2;t2;3;15min;2;48526;-9669;48960;12531;11371;104335;100493
t2-3;t2;3;15min;3;54606;2429;48960;5911;11371;88923;100493
t3-1;t3;4;30min;1;57016;13268;57200;24741;25729;74853;91477
t3-2;t3;4;30min;2;63463;14937;57200;24762;25729;81678;91477
t3-3;t3;4;30min;3;51123;-3483;57200;27685;25729;117902;91477
t4-1;t4;5;1h;1;54265;-2751;49927;21167;23952;;
t4-2;t4;5;1h;2;47682;-15781;49927;27349;23952;;
t4-3;t4;5;1h;3;47836;-3287;49927;23342;23952;;
t5-1;t5;6;2h;1;34503;-19762;42199;24846;21925;;
t5-2;t5;6;2h;2;46034;-1648;42199;24930;21925;;
t5-3;t5;6;2h;3;46062;-1774;42199;16000;21925;;
t6-1;t6;7;4h;1;53125;18622;51740;28993;21062;;
t6-2;t6;7;4h;2;46720;686;51740;9006;21062;;
t6-3;t6;7;4h;3;55377;9315;51740;25188;21062;;
t7-1;t7;8;8h;1;30307;-22818;41395;8713;9041;;
t7-2;t7;8;8h;2;48006;1286;41395;9125;9041;;
t7-3;t7;8;8h;3;45874;-9503;41395;9286;9041;;
t8-1;t8;9;12h;1;55944;25637;59482;17349;20113;;
t8-2;t8;9;12h;2;60678;12672;59482;28279;20113;;
t8-3;t8;9;12h;3;61825;15951;59482;14713;20113;;
t9-1;t9;10;24h;1;52622;-3322;40183;48916;48438;;
t9-2;t9;10;24h;2;41769;-18909;40183;39797;48438;;
t9-3;t9;10;24h;3;26160;-35665;40183;56601;48438;;
t10-1;t10;11;36h;1;59083;6461;58330;46405;56195;;
t10-2;t10;11;36h;2;67636;25867;58330;66153;56195;;
t10-3;t10;11;36h;3;48272;22112;58330;56027;56195;;
t11-1;t11;12;48h;1;46216;-12867;63747;45293;71643;;
t11-2;t11;12;48h;2;50776;-16860;63747;74958;71643;;
t11-3;t11;12;48h;3;94251;45979;63747;94678;71643;;
t12-1;t12;13;60h;1;129650;83434;109624;62006;84248;;
t12-2;t12;13;60h;2;123251;72475;109624;93349;84248;;
t12-3;t12;13;60h;3;75972;-18279;109624;97391;84248;;
t13-1;t13;14;72h;1;105853;-23797;90191;103013;85561;;
t13-2;t13;14;72h;2;110797;-12454;90191;69839;85561;;
t13-3;t13;14;72h;3;53923;-22049;90191;83832;85561;;